NodeId:0	0.09102989085886126,0.10749786830009037,1,15,66,96
NodeId:1	0.17443501805690803,0.20629570113543416,37,72
NodeId:10	0.12211375914679876,0.14431106228418758,4,6,38,67,78,80
NodeId:11	0.0860566902971545,0.10166391902243485,6,28,40,49,51,67,89
NodeId:12	0.12859376688753513,0.15189627032051647,24,28,50,55,67,85,98
NodeId:13	0.11957726035995216,0.14128796059406587,25,32,33,35,76
NodeId:14	0.026911273178485424,0.03154849461340243,36,39,44,62,98
NodeId:15	0.17248221881499096,0.20397369798098156,47,70,79,95,97
NodeId:16	0.0802483145052076,0.09476419139291968,45,52,67,80
NodeId:17	0.06417283475933909,0.07567483442558898,18,39,41,53,63,72,79,99
NodeId:18	0.13809244438741525,0.1631487616264079,52,61,62,87
NodeId:19	0.1202485309317105,0.1421183396486761,27,33,37,45,92
NodeId:2	0.13912021113908488,0.16442873536953992,31,63
NodeId:20	0.16204569909319175,0.19155487033561344,7,94
NodeId:21	2.654808587707335,2.88779532620382
NodeId:22	0.14662733786757348,0.17333989559395308,25,65,72,83,97
NodeId:23	0.06943401129657778,0.081934995662306,92,99
NodeId:24	0.132388159590611,0.15635875690982887,9,10,18,38,55,93,94
NodeId:25	0.10662938925541157,0.1259506708615741,63
NodeId:26	0.11167474368090569,0.13195162792645085,15,23,28,64
NodeId:27	0.18969760639410443,0.2243084226594712,32,68,70,92
NodeId:28	0.11698785828303451,0.1382068150038488,21,25,72
NodeId:29	0.12091876123537257,0.1429431050845051,18,23,31,36,86
NodeId:3	0.1013744200551339,0.11981577924061738,30,42,45,86
NodeId:30	0.1138003128400793,0.13441481439262504,80,84,95
NodeId:31	0.3244544950514907,0.3839650679561684,29,36,46,49,54,62,70,85
NodeId:32	0.13200228385131038,0.15599440155267544,2,3,6,27,47,69,71,91
NodeId:33	0.14085014283523054,0.1665394344024035,2,56,58,86
NodeId:34	0.13885144525816193,0.16420965597712503,0,7,77,78
NodeId:35	0.050402792961083485,0.05932223199781044,12,18,62,64,65,66,83,91
NodeId:36	0.09874873699518412,0.11660431210641885,12,20,30,34,61,75,77,99
NodeId:37	0.19056922943178967,0.2254014391148461,40,59,71,97
NodeId:38	0.1601135418855914,0.1892600556879159,30,41,98
NodeId:39	0.16355409079672767,0.19339413713181547,31,43,68,71,92
NodeId:4	0.09990035448324751,0.11805095506313937,24,42,46,86
NodeId:40	0.09523168435489202,0.112488470561762,7,71,72,73
NodeId:41	0.12433963963743576,0.14689354007248753,44,45,49,66
NodeId:42	0.06846825863847873,0.08078313382684128,36,45,70,89,99
NodeId:43	0.13075427689786512,0.15462016438713283,4,21,24,56,67,68,80,86,90
NodeId:44	0.07567956344725674,0.08930382099893204,17,37,38
