0	1,15,66,96

0	r1.0

1	37,72

1	r1.0

10	4,6,38,67,78,80

10	r1.0

11	6,28,40,49,51,67,89

11	r1.0

12	24,28,50,55,67,85,98

12	r1.0

13	25,32,33,35,76

13	r1.0

14	36,39,44,62,98

14	r1.0

15	47,70,79,95,97

15	r1.0

16	45,52,67,80

16	r1.0

17	18,39,41,53,63,72,79,99

17	r1.0

18	52,61,62,87

18	r1.0

19	27,33,37,45,92

19	r1.0

2	31,63

2	r1.0

20	7,94

20	r1.0

22	25,65,72,83,97

22	r1.0

23	92,99

23	r1.0

24	9,10,18,38,55,93,94

24	r1.0

25	r1.0

26	15,23,28,64

26	r1.0

27	32,68,70,92

27	r1.0

28	21,25,72

28	r1.0

29	18,23,31,36,86

29	r1.0

3	30,42,45,86

3	r1.0

30	80,84,95

30	r1.0

31	29,36,46,49,54,62,70,85

31	r1.0

32	2,3,6,27,47,69,71,91

32	r1.0

33	2,56,58,86

33	r1.0

33	0,7,77,78

34	r1.0

35	12,18,62,64,65,66,83,91

35	r1.0

36	12,20,30,34,61,75,77,99

36	r1.0

37	40,59,71,97

37	r1.0

38	30,41,98

38	r1.0

39	31,43,68,71,92

39	r1.0

4	24,42,46,86

4	r1.0

40	7,71,72,73

40	r1.0

41	44,45,49,66

41	r1.0

42	36,45,70,89,99

42	r1.0

43	4,21,24,56,67,68,80,86,90

43	r1.0

44	17,37,38

44	r1.0

45	18,53,58,83,86,90

45	r1.0

46	r1.0

47	5,14,52,70,73

47	r1.0

48	18,39,61,79,89

48	r1.0

49	2,29,31,39,84

49	r1.0

5	2,9,24,50,61,81,98

5	r1.0

5	0,20,46,68

50	r1.0

51	38,45,61,71

51	r1.0

52	27,31,64,91

52	r1.0

53	2,13,65,78,95

53	r1.0

54	12,69,77

54	r1.0

55	10,19,22,25,51,58,62

55	r1.0

56	29,36,80,96,98

56	r1.0

57	86,94,96,98

57	r1.0

58	16,38,71,73,78

58	r1.0

59	10,24,69,92

59	r1.0

6	15,22,58,80

6	r1.0

60	14,49,53,56,65

60	r1.0

61	6,9,18,20,99

61	r1.0

62	11,22,33,91

62	r1.0

63	3,64,65,72

63	r1.0

64	3,27,28,31,33,39,78

64	r1.0

65	27,88

65	r1.0

66	8,19,72,81,83,98

66	r1.0

67	2,26,30,31,32,45

67	r1.0

68	1,6,19,28,40,81,85

68	r1.0

